Item,Production,Bananas index (kg),Bananas index (1000 kcal),Bananas index (100g protein)
Apples,95610870.11,0.58092878,1.025559904,1.740863073
Asparagus,8657044.36,1.05993276,3.187052989,0.49899221
Avocados,9534798.17,1.054820569,2.116582541,0.645564177
Bananas,135505239.34,1.0,1.0,1.0
Coconut oil,3162278.89,0.605417691,0.387080979,1.271967492
Grapes,78207397.67,9.479453193,14.46835062,15.12852148
Olive oil,2743216.64,5.936486841,0.675904574,0.0
Oranges,68479157.36,0.534207099,1.229178041,0.643812891
Pears,26314506.67,1.059776522,1.896714257,2.411347443
Potatoes,373399784.6,0.237334702,0.265041615,0.149911689
Quinoa,159820.4,1.303764574,0.467686017,0.165927853
Raspberries,959776.75,9.584904244,28.10562387,7.878814553
Rice,788933616.99,4.495232991,2.338289812,1.180736047
Spinach,33188695.35,1.155468526,4.309465942,0.52878216
Strawberries,10247395.03,3.711818396,5.914797556,3.160119003
Tomatoes,186628501.06,2.600923545,13.39123596,3.713211528
Yoghurt,4530789.09,3.563075814,4.552010431,1.083373846
Almonds,3640790.38,0.689721368,0.119922723,0.042520147
Beans,275287.42,1.572460853,0.914547922,0.114857698
Beer,185633857.67,0.785805872,0.692475215,0.195450855
Brazil nuts,79147.35,2.87748632,0.430600319,0.219249157
Broccoli,26461349.14,1.027539889,3.07257824,0.391921143
Butter,60334.42,3.80661226,1.33065735,6.192303104
Cabbage,73640598.46,1.019390288,3.481328281,0.617193099
Carrots,42038650.96,1.070777856,2.664548065,1.553967611
Cashew nuts,3922279.77,2.390387906,0.42627085,0.154910786
Cauliflower,26461349.14,1.021041609,2.963558842,0.461596518
Cucumber,95181586.35,0.969959532,4.699192619,0.95040233
Eggs,6131928.05,5.079981971,3.157202768,0.407148178
Lemons,22042097.42,0.538332961,1.257922134,0.623368866
Lentils,6618254.23,2.904358469,2.24183208,0.264022194
Lettuce,28128996.97,5.640379636,28.9155338,5.173569827
Limes,22042097.42,0.530151815,1.622505348,0.650123536
Melon,29773949.61,1.20975152,2.937206728,1.912931658
Mushrooms,48281468.04,2.694129305,8.998579748,1.07537871
Onions,111503046.58,0.415481226,1.157835651,0.413483406
Peppers,4829440.45,1.051883658,3.108335831,0.768527102
Pineapple,29574167.64,1.067164927,2.214495509,2.51001233
Sunflower seed,53098964.05,2.214948259,0.370034786,0.118023175
Walnuts,3903413.9,2.766713196,0.467662747,0.223457327
Watermelon,103043171.16,1.109982513,2.813519241,2.115524046
Eggs,89115826.08,5.079981971,3.157202768,0.407148178
Butter,5982452.51,3.80661226,1.33065735,6.192303104
Beef mince,75423444.91,108.8161895,54.0493933,6.878001796
Beef steak,75423444.91,148.5633238,77.75262948,8.3128054
Milk,135054591.56,4.240268453,8.145107976,1.409475991
Goat cheese,446512.28,22.11264958,7.102343521,1.625014611
Chicken breast,123881882.72,10.61696671,6.657306673,0.585147684
Chicken thighs,123881882.72,11.42942259,5.81777995,0.692125336
Chicken wings,123881882.72,10.97321914,5.309770485,0.661129267
Pork chops,122988975.57,13.9278603,5.238743371,0.959339453
